,body type,Kilometers driven,Transmission type,Number of owners,car model,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Color,Turbo Charger,Super Charger,Steering Type,Top Speed,No of Doors,City
4783,2,108560,1,1,179,2016,472000.0,4,5,5,1197.0,22.38,86,0,0,1,170,5,3
4784,7,70000,1,1,147,2014,860000.0,1,5,7,2179.0,15.1,8,3,0,4,175,5,3
4785,2,28292,1,1,39,2021,469000.00000000006,4,4,5,999.0,21.7,14,0,0,4,170,5,3
4786,2,117467,1,1,155,2017,289000.0,4,0,5,796.0,24.7,116,0,0,4,140,5,3
4787,2,65000,1,1,157,2019,690000.0,4,5,5,1197.0,21.4,66,0,0,4,180,5,3
4788,2,60541,1,1,89,2012,321000.0,4,4,5,1197.0,20.36,110,0,0,4,170,4,3
4789,7,60000,1,1,50,2015,575000.0,4,5,5,999.0,18.88,116,3,0,4,190,5,3
4790,8,76355,1,1,63,2019,890000.0,4,5,5,1497.0,17.4,138,0,0,4,189,4,3
4791,2,60000,0,1,176,2021,525000.0,4,5,5,998.0,21.7,86,0,0,4,170,5,3
4792,7,50000,1,1,229,2019,900000.0,1,5,5,1461.0,19.87,86,3,0,4,156,5,3
4793,7,96000,1,1,122,2019,1650000.0,1,5,5,1956.0,17.41,116,3,0,4,170,5,3
4794,7,63000,1,1,146,2020,1120000.0,1,5,5,1497.0,20.0,110,3,0,4,175,5,3
4795,2,40000,1,1,78,2020,599000.0,4,5,5,1197.0,20.7,9,0,0,1,170,5,3
4796,7,30000,1,1,85,2021,1020000.0,4,5,5,998.0,18.0,86,3,0,1,170,5,3
4797,8,101543,1,1,180,2014,443000.0,4,0,5,1197.0,22.41,116,0,0,1,170,4,3
4798,2,66424,1,1,157,2016,644000.0,4,0,5,1197.0,21.4,9,0,0,4,180,5,3
4799,7,120000,1,1,178,2020,750000.0,4,5,5,1462.0,18.55,86,0,0,4,170,5,3
4800,2,33433,1,1,273,2018,519000.00000000006,4,5,5,1199.0,23.84,84,0,0,4,150,5,3
4801,2,72169,1,1,90,2016,695000.0,1,5,5,1396.0,22.54,110,3,0,4,180,5,3
4802,8,48175,0,1,63,2018,981000.0,4,4,5,1497.0,18.0,14,0,0,4,195,4,3
4803,2,73452,1,1,160,2014,425000.0,4,5,5,998.0,23.1,140,0,0,4,150,5,3
4804,7,54807,0,1,122,2020,1537000.0,4,4,5,1451.0,13.96,138,3,0,4,170,5,3
4805,2,47118,1,1,155,2017,323000.0,4,0,5,796.0,22.05,9,0,0,4,170,5,3
4806,7,100000,1,1,265,2017,700000.0,4,5,5,1198.0,17.0,55,3,0,4,154,5,3
4807,7,41192,1,1,225,2021,809000.0,4,6,5,999.0,18.75,138,0,0,1,170,5,3
4808,7,70000,1,1,256,2019,1785000.0000000002,1,5,5,1956.0,17.0,86,3,0,4,170,4,3
4809,7,105264,0,1,51,2016,2650000.0,1,5,7,3198.0,10.91,110,3,0,4,160,5,3
4810,7,70000,0,1,62,2012,1195000.0,4,5,5,2354.0,11.1,14,0,0,4,170,5,3
4811,7,50380,0,1,114,2017,4800000.0,1,5,5,1999.0,15.68,110,3,0,4,195,5,3
4812,8,80000,1,2,262,2010,245000.00000000003,1,5,5,1248.0,19.0,138,0,0,4,170,5,3
4813,2,51000,1,1,160,2016,425000.0,4,4,5,998.0,23.1,57,0,0,4,150,5,3
4814,2,31846,1,1,238,2017,385000.0,4,5,5,999.0,23.01,116,0,0,4,155,5,3
4815,2,63000,1,1,77,2015,545000.0,1,5,5,1120.0,24.0,66,0,0,4,157,5,3
4816,2,114676,1,2,90,2015,588000.0,1,0,5,1396.0,22.54,138,3,0,4,180,5,3
4817,2,82662,1,1,90,2019,747000.0,1,5,5,1396.0,22.54,116,3,0,4,180,5,3
4818,2,50000,1,2,156,2014,280000.0,4,5,5,998.0,23.95,86,0,0,4,145,5,3
